title,push_content,date,sentiment
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,乍看還以為是雲豹小公舉 ,2023/8/25,Neutral
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,沒有工作上的需求，但想以生活角度應用切入使用感想 ,2023/8/31,Neutral
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,實際購買i5版本，使用兩個月以來續航力都只有不到5小時，有外出需求需審慎考慮（使用情境youtube影音連續播放，亮度50% or 文書office軟體操作+網頁瀏覽）,2023/8/29,Negative
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,https://www.instagram.com/yammy0720/,2023/8/30,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,輕薄攜帶才方便,2023/8/28,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,頭一次看完商城價格覺得這台應該買i7而不是i5的差6張小朋友記憶體和處理器都升級看看隔壁的蘋果處理器M2升高階要3張小朋友（Pro版升級不只）記憶體多16GB要12張HP只要6張就通通都給你了啊XD回答問題我喜歡HP自家的安全/隱私功能，還有3:2的觸控螢幕工作任務嘛…隨時隨地的大量文字閱讀、編輯然後能不用帶充電器,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,輕薄商務筆電最喜重量輕的筆電好攜帶,2023/8/27,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,商務筆電主打的就是輕薄，但可惜如果電池能夠更大一定肯定更棒,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,「你最喜歡本次介紹的哪項功能、最希望 HP 筆電幫你解決什麼工作任務」我最喜歡HP Dragonfly G4超過 13 小時續航力的表現，與支援 HP 快速充電功能，加上採用 USB-C 進行供電，出門只要帶一條Type-C線就可以了，真的很方便!,2023/8/29,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,我最喜歡本次介紹的具備 AI 降噪功能的視訊鏡頭、最希望 HP 筆電幫我完成出色無干擾的視訊會議」,2023/8/26,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,感謝分享Insta360 Flow,2023/8/28,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,我只想發問一下MD是誰呀~~~~,2023/8/29,Neutral
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,你最喜歡本次介紹的哪項功能、最希望 HP 筆電幫你解決什麼工作任務最喜歡內建的 HP Wolf Security，可以透過AI學習並排除一些問題，使用上會更加心安點。出差需要的是輕薄和續航能力，避免找不到插頭，可以18小時以上，對一些報告編輯是很足夠了。,2023/8/26,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,喜歡外型、螢幕、輕薄其他就...價格更是不敢恭維,2023/8/28,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,看完京東hp價格，台灣人真的是狗雜種要這樣被坑呢真棒啊台灣惠普,2023/8/28,Negative
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,回文抽獎,2023/8/25,Neutral
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,笑死，這台G4 台灣配置真的有夠蝦欸原本有3K OLED 砍成1080p LCD68Wh大容量電池砍成45Wh小容量電池賣給盤子真的很適合！！！願者上勾啦，spectre x360配置比這強,2023/8/25,Negative
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,看在我有一代二代的份上可以給女模的IG/FB嗎？ELITE Dragonfly輕便好用音響效果佳可惜三代之後就無4K螢幕希望下一代能再恢復！,2023/8/25,Neutral
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,外型簡潔時尚重量輕薄螢幕還可以 180 度開闔續航時間也足夠但價格似乎有點高的,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,外型簡約漂亮重量輕薄螢幕可以打直待機時間看起來也夠長 好機一台,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,有EVO認證 輕薄的外型 加上鋁鎂合金外殼 質感大大加分 是讓人想隨時攜帶的商務筆電,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,感謝分享HP Dragonfly G4,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,我最喜歡HP Dragonfly G4介紹的HP Audio Control 功能，HP筆電我最欣賞的除了有高顏值及鎂合金金屬材質增加整機的質感，還有B & O的喇叭，在工作之餘可以聽聽音樂放鬆心情，以及在視訊會議時麥克風的降噪模式，能對方清楚聽見我的聲音，有一台優質的商務筆電視可以為自己整體形象加分的。我最希望HP能幫我解決任何MIS所需的各種工作任務，網路查修，寫小工具程式，幫同事處理飯店系統問題，除此之外，可以進行影音剪輯，讓我可以朝著Youtuber的方向前進。,2023/8/26,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,這台最吸引人的地方我覺得是在重量 1kg方便攜帶 加上長續航使用，對於商務辦公有很大的幫助 如果還有2K OLED螢幕就更棒了,2023/8/26,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,這樣的規格要六萬蠻誇張的！不過…這樣的筆電確實很適合商務人士，需要一整天帶著筆電跑客戶的，應該會很喜歡。,2023/8/26,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,最喜歡HP Wolf Security，讓我可以放心的上網,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,Dragonfly G4 輕薄好攜帶商務外出為客戶作簡報很適合,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,公司用的辦工機整體表現還可以,2023/8/25,Neutral
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,支援雙鏡頭感覺很方便查資料打論文神器,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,看起來不錯喔,2023/8/26,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,你最喜歡本次介紹的 1Kg 重量與 1.64cm 厚度的筆電機身功能最希望 HP 筆電幫你解決每天日常工作任務,2023/8/28,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,效能好像有點勉強?商務使用夠嗎??,2023/8/28,Neutral
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,外型好攜帶性便利續航力不在話下還可以保護筆電資料很不錯的一台商務筆電,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,外觀很好看輕巧也很好攜帶 不會很重,2023/8/25,Positive
HP Dragonfly G4 測試報告｜極致輕薄兼具安全與續航力的商務筆電,雖然本體只重一公斤，但變壓器65W感覺可以附個GaN比較實在，沒事還可以充充手機。這價格搭配這性能與規格感覺cp值不高,2023/8/25,Negative
